05/10/16	18:00	18:15	put the first real entry in diary.txt (delete this line!)
20/10/16	12:00	13:00	moved to flask
20/10/16	13:00	17:00	sqlite
21/10/16	19:00	22:00	posts
21/10/16	22:00	23:59	searching 
22/10/16	00:00	02:59	tidied up code
22/10/16	12:00	14:00	login
22/10/16	14:00	15:00	comments and replies
